symbol,threshold,cost_pips,trades,coverage,selected_accuracy,mean_net_bps,sum_net_bps,net_win_rate
CHFJPY,0.55,3.0,307,0.11143375680580762,0.5863192182410424,1.7200943598077447,528.0689684609777,0.5472312703583062
CHFJPY,0.6,0.0,17,0.006170598911070781,0.8235294117647058,8.18544644224993,139.15258951824882,0.8235294117647058
CHFJPY,0.6,1.5,17,0.006170598911070781,0.8235294117647058,7.326465754976763,124.54991783460497,0.7647058823529411
CHFJPY,0.6,3.0,17,0.006170598911070781,0.8235294117647058,6.4674850677035955,109.94724615096112,0.7647058823529411
CHFJPY,0.65,0.0,1,0.0003629764065335753,1.0,12.46123974845803,12.46123974845803,1.0
CHFJPY,0.65,1.5,1,0.0003629764065335753,1.0,11.591850928798252,11.591850928798252,1.0
CHFJPY,0.65,3.0,1,0.0003629764065335753,1.0,10.72246210913847,10.72246210913847,1.0
CHFJPY,0.7,0.0,0,0.0,,,0.0,
CHFJPY,0.7,1.5,0,0.0,,,0.0,
CHFJPY,0.7,3.0,0,0.0,,,0.0,
EURAUD,0.5,0.0,2879,1.0,0.5474122959360889,1.0534915728316174,3033.002238182227,0.5460229246266065
EURAUD,0.5,1.5,2879,1.0,0.5474122959360889,0.15383017422891734,442.877071605053,0.5192775269190691
EURAUD,0.5,3.0,2879,1.0,0.5474122959360889,-0.745831224373783,-2147.248094972121,0.4921847863841612
EURAUD,0.55,0.0,1260,0.43765196248697463,0.5936507936507937,2.1762314420248203,2742.0516169512734,0.5928571428571429
EURAUD,0.55,1.5,1260,0.43765196248697463,0.5936507936507937,1.2748019856301984,1606.2505018940499,0.5634920634920635
EURAUD,0.55,3.0,1260,0.43765196248697463,0.5936507936507937,0.37337252923557696,470.449386836827,0.5301587301587302
EURAUD,0.6,0.0,180,0.06252170892671066,0.65,2.9842200732084097,537.1596131775137,0.65
EURAUD,0.6,1.5,180,0.06252170892671066,0.65,2.081709348645541,374.70768275619736,0.6055555555555555
EURAUD,0.6,3.0,180,0.06252170892671066,0.65,1.1791986240826742,212.25575233488135,0.5944444444444444
EURAUD,0.65,0.0,4,0.0013893713094824591,0.5,3.678637927646833,14.714551710587331,0.5
EURAUD,0.65,1.5,4,0.0013893713094824591,0.5,2.754152912701329,11.016611650805316,0.5
EURAUD,0.65,3.0,4,0.0013893713094824591,0.5,1.8296678977558258,7.318671591023303,0.5
EURAUD,0.7,0.0,0,0.0,,,0.0,
EURAUD,0.7,1.5,0,0.0,,,0.0,
EURAUD,0.7,3.0,0,0.0,,,0.0,
EURCAD,0.5,0.0,2813,1.0,0.5343050124422325,0.6047585312962761,1701.1857485364246,0.5321720583007465
EURCAD,0.5,1.5,2813,1.0,0.5343050124422325,-0.3812158705121734,-1072.3602437507438,0.491290437255599
EURCAD,0.5,3.0,2813,1.0,0.5343050124422325,-1.367190272320623,-3845.9062360379125,0.4425879843583363
EURCAD,0.55,0.0,248,0.08816210451475294,0.5766129032258065,1.1683000203204443,289.7384050394702,0.5766129032258065
EURCAD,0.55,1.5,248,0.08816210451475294,0.5766129032258065,0.18311324953415106,45.41208588446946,0.5362903225806451
EURCAD,0.55,3.0,248,0.08816210451475294,0.5766129032258065,-0.8020735212521428,-198.9142332705314,0.5
EURCAD,0.6,0.0,17,0.006043370067543548,0.8235294117647058,8.023157999066322,136.39368598412747,0.8235294117647058
EURCAD,0.6,1.5,17,0.006043370067543548,0.8235294117647058,7.0203973729243385,119.34675533971375,0.8235294117647058
EURCAD,0.6,3.0,17,0.006043370067543548,0.8235294117647058,6.017636746782353,102.2998246953,0.8235294117647058
EURCAD,0.65,0.0,9,0.003199431212228937,0.8888888888888888,4.54861701042845,40.93755309385605,0.8888888888888888
EURCAD,0.65,1.5,9,0.003199431212228937,0.8888888888888888,3.5479026459847933,31.93112381386314,0.8888888888888888
EURCAD,0.65,3.0,9,0.003199431212228937,0.8888888888888888,2.5471882815411373,22.924694533870237,0.8888888888888888
EURCAD,0.7,0.0,4,0.0014219694276573053,1.0,11.72206269492493,46.88825077969972,1.0
EURCAD,0.7,1.5,4,0.0014219694276573053,1.0,10.722333034199224,42.889332136796895,1.0
EURCAD,0.7,3.0,4,0.0014219694276573053,1.0,9.72260337347352,38.89041349389408,1.0
EURCHF,0.5,0.0,2879,1.0,0.5362973254602292,0.612938547873771,1764.6500793285868,0.5331712400138937
EURCHF,0.5,1.5,2879,1.0,0.5362973254602292,-0.9706570940313852,-2794.521773716358,0.4511983327544286
EURCHF,0.5,3.0,2879,1.0,0.5362973254602292,-2.554252735936541,-7353.693626761302,0.3692254254949635
EURCHF,0.55,0.0,1245,0.4324418200764154,0.5654618473895582,1.0549111670699372,1313.3644030020719,0.563855421686747
EURCHF,0.55,1.5,1245,0.4324418200764154,0.5654618473895582,-0.5325855280342329,-663.0689824026199,0.4811244979919679
EURCHF,0.55,3.0,1245,0.4324418200764154,0.5654618473895582,-2.120082223138403,-2639.5023678073117,0.3863453815261044
