symbol,task,horizon,bundle,model,development_balanced_accuracy,confidence_threshold,previously_inspected,accuracy_lift_ci_low,accuracy_lift_ci_high,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate,confident_n,confident_coverage,confident_accuracy,confident_positive_rate,confident_baseline_accuracy,confident_balanced_accuracy,confident_majority_accuracy
GBPJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0,0.0945454545454545,275,0.72,0.6549636803874092,0.7948230139513434,0.1758964974441573,0.6436363636363637,0.2294891629169362,0.6727272727272727,0.6523982474345671,0.3563636363636364,164,0.5963636363636363,0.8353658536585366,0.2621951219512195,0.7560975609756098,0.7235248894868345,0.7378048780487805
GBPNZD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0281815020862308,0.0229485396383866,2876,0.5052155771905424,0.503747497315962,0.5291428488523924,0.2496197120578901,0.5027816411682893,0.2499924374356417,0.5076495132127955,0.5077928986642679,0.4972183588317107,2876,1.0,0.5052155771905424,0.4972183588317107,0.5076495132127955,0.503747497315962,0.5027816411682893
GBPNZD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0364238410596026,0.0562913907284768,302,0.6026490066225165,0.5577537593984963,0.593421052631579,0.2350129134367198,0.6291390728476821,0.2341252380546352,0.5927152317880795,0.5755169172932331,0.3708609271523179,97,0.3211920529801324,0.6907216494845361,0.4020618556701031,0.711340206185567,0.6615826702033598,0.5979381443298969
GBPUSD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,True,-0.0110409252669039,0.0480516014234875,2810,0.5071174377224199,0.5058956288738361,0.5130311893208803,0.2501796886771757,0.4918149466192171,0.2500388824890667,0.4903914590747331,0.4907793073814185,0.4918149466192171,2810,1.0,0.5071174377224199,0.4918149466192171,0.4903914590747331,0.5058956288738361,0.4918149466192171
GBPUSD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,True,0.054054054054054,0.1655405405405405,296,0.6554054054054054,0.6045263310604961,0.6367812756903138,0.2203279904909235,0.6182432432432432,0.2364204789886916,0.5472972972972973,0.5255573286909425,0.3817567567567567,117,0.3952702702702703,0.7094017094017094,0.358974358974359,0.6068376068376068,0.6266666666666667,0.6410256410256411
NZDCAD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0046973270440251,0.0542452830188679,2544,0.5314465408805031,0.5298983404292292,0.5414507900649181,0.2481677452036556,0.4677672955974842,0.250184942295408,0.5023584905660378,0.5031317105867458,0.4677672955974842,2544,1.0,0.5314465408805031,0.4677672955974842,0.5023584905660378,0.5298983404292292,0.46776729559748426
NZDCAD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0075471698113207,0.1283018867924528,265,0.6528301886792452,0.599343185550082,0.6705822912719464,0.2132170799403357,0.6566037735849056,0.228498999449333,0.5962264150943396,0.55623973727422,0.3433962264150943,108,0.4075471698113208,0.7685185185185185,0.2777777777777778,0.6666666666666666,0.6448717948717949,0.7222222222222222
NZDCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.029681314330958,0.0851247030878859,2526,0.5649247822644498,0.5710425487860707,0.5940506289839821,0.2419330695633972,0.4501187648456057,0.2504330585816821,0.5079176563737133,0.5126645277348788,0.4501187648456057,2526,1.0,0.5649247822644498,0.4501187648456057,0.5079176563737133,0.5710425487860707,0.4501187648456057
NZDCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0,0.1102661596958174,263,0.6501901140684411,0.5873983739837398,0.6833579699433359,0.2117003250807999,0.623574144486692,0.2347437741697523,0.596958174904943,0.5767430401576743,0.376425855513308,118,0.4486692015209125,0.7372881355932204,0.2966101694915254,0.6610169491525424,0.5984509466437178,0.7033898305084746
NZDJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0156623134328358,0.0753731343283582,2680,0.5279850746268657,0.5283157519851123,0.5381258043139373,0.2485882492689789,0.4861940298507463,0.250384504901054,0.4832089552238806,0.4840828745016667,0.4861940298507463,2680,1.0,0.5279850746268657,0.4861940298507463,0.4832089552238806,0.5283157519851123,0.4861940298507463
NZDJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0249110320284697,0.0711743772241993,281,0.6761565836298933,0.6212556306306306,0.714527027027027,0.201076942806434,0.6583629893238434,0.2257891543103559,0.6512455516014235,0.6223817567567568,0.3416370106761566,143,0.5088967971530249,0.7902097902097902,0.2727272727272727,0.7482517482517482,0.7115384615384615,0.7272727272727273
NZDUSD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0139023966655088,0.0347429663077457,2879,0.5199722125738103,0.514778693041738,0.5164815190803531,0.2503663022728116,0.5206668982285516,0.2499158458244004,0.5098992705800626,0.5098802583364755,0.4793331017714484,2879,1.0,0.5199722125738103,0.4793331017714484,0.5098992705800626,0.514778693041738,0.5206668982285516
NZDUSD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0033003300330033,0.1056105610561056,303,0.6171617161716172,0.5668715846994535,0.6163479052823315,0.2304674785697419,0.6039603960396039,0.2393280066356644,0.5643564356435643,0.5403688524590163,0.396039603960396,133,0.4389438943894389,0.7142857142857143,0.3609022556390977,0.6240601503759399,0.6313725490196078,0.6390977443609023
USDCAD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0066168808614102,0.0503647099687391,2879,0.5112886418895449,0.5128816872179726,0.5186689510388264,0.2503068350398918,0.4963529003126085,0.2500096825055295,0.4901007294199375,0.4900938683912068,0.5036470996873914,2879,1.0,0.5112886418895449,0.5036470996873914,0.4901007294199375,0.5128816872179726,0.49635290031260854
USDCAD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0198019801980198,0.099009900990099,303,0.6402640264026402,0.5888231981981982,0.6865615615615617,0.2113492547808927,0.6336633663366337,0.2326926049347712,0.6006600660066007,0.5670748873873874,0.3663366336633663,99,0.3267326732673267,0.8282828282828283,0.3232323232323232,0.696969696969697,0.7670242537313433,0.6767676767676768
USDCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0055661688086141,0.0465526224383466,2879,0.5276137547759638,0.5276054937842638,0.5286025210408463,0.2501317400107402,0.4998263285863147,0.2500141095973813,0.5067731851337269,0.506774090803799,0.4998263285863147,2879,1.0,0.5276137547759638,0.4998263285863147,0.5067731851337269,0.5276054937842638,0.4998263285863147
USDCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0396039603960396,0.132013201320132,303,0.6468646864686468,0.5998070030328094,0.7100450326256778,0.2084925907214763,0.6138613861386139,0.2377803211680835,0.5643564356435643,0.5389440308795147,0.3861386138613861,116,0.3828382838283828,0.8189655172413793,0.2672413793103448,0.6810344827586207,0.6920303605313093,0.7327586206896551
USDJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,True,0.0246526571726293,0.0764241055922195,2879,0.5283084404307051,0.5276053096916407,0.5409015817648911,0.2495165401098618,0.5310871830496701,0.2497623891494299,0.4782910732893365,0.4762665019499552,0.5310871830496701,2879,1.0,0.5283084404307051,0.5310871830496701,0.4782910732893365,0.5276053096916407,0.5310871830496701
USDJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,True,-0.0429042904290429,0.033003300330033,303,0.6336633663366337,0.5722847132583441,0.7377835146597824,0.2021501145013195,0.6171617161716172,0.2362787898371651,0.636963696369637,0.6142356629172046,0.3828382838283828,193,0.636963696369637,0.7668393782383419,0.2901554404145077,0.7046632124352331,0.6562825860271115,0.7098445595854922
