task,horizon,bundle,model,accuracy,balanced_accuracy,ba_std,auc,brier,baseline_brier,majority_accuracy,persistence_balanced_accuracy,evaluations,selection_score
high_volatility,72,price,xgboost,0.6062486774346613,0.5127120752431392,0.01404388402007237,0.5255755718521495,0.23941447646488898,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5056901332331031
direction,72,fomc,extra_trees,0.515870105867897,0.5153141897672809,0.019430567908193846,0.5218140407673773,0.2520755802919951,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.505598905813184
direction,4,price,logistic,0.5107641939102585,0.5106524547730026,0.010564238030836217,0.5163235752137976,0.24993461865212616,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5053703357575845
direction,24,fomc,xgboost,0.5101671852427779,0.5091489846025117,0.010412200667019207,0.509649273977741,0.25218710812570583,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.503942884269002
high_volatility,72,price,extra_trees,0.6093482933427165,0.5098379234584135,0.01322628334509918,0.5317521017354212,0.2376866899694767,0.23738310593734507,0.6126333014868235,0.5950842345596069,14,0.5032247817858639
high_volatility,24,price,xgboost,0.6528467262094821,0.5076262367523509,0.010020424722300046,0.5366655004454198,0.22603627423680522,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5026160243912008
high_volatility,24,price,hist_boost,0.6522497416893633,0.5072671369071285,0.009425273942161265,0.5368455051283123,0.2261918749758027,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.502554499936048
high_volatility,24,price,extra_trees,0.6545496009235633,0.50621777797918,0.007982764241403406,0.5448195760223447,0.22490952166937708,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5022263958584783
direction,72,fomc,catboost,0.5126599174359938,0.5123324181657248,0.020245622330398245,0.5123530734931134,0.25693056723222857,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.5022096070005257
high_volatility,24,price,logistic,0.6547721332550207,0.5059369792638515,0.007711075871307687,0.5443831176419247,0.224963046345339,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5020814413281977
high_volatility,24,price,catboost,0.6537546631520542,0.5073076366473088,0.01047289517176059,0.5435137481540812,0.22517466755659696,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5020711890614286
direction,24,cot_exploratory,extra_trees,0.5075788023726984,0.5071616604545318,0.010692259636211806,0.5127134693510013,0.25052714640544854,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.5018155306364259
direction,24,fomc,catboost,0.5064073036984743,0.5056640616437955,0.008357818927965532,0.5080739470976412,0.2519916033430179,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.5014851521798127
direction,24,fomc,extra_trees,0.5076949801265714,0.5072941048685704,0.012141038696631823,0.5093139942372813,0.25092818517528526,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.5012235855202545
direction,72,fomc,logistic,0.5096447454304227,0.510106770243684,0.01830208355418907,0.5165702460370919,0.25211153383293566,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.5009557284665894
direction,24,cot_exploratory,logistic,0.508452179538931,0.5077037077277838,0.013517173236396786,0.5144180437333515,0.2541558728588677,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.5009451211095854
