symbol,task,horizon,bundle,model,fold,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate
EURUSD,direction,24,cot_exploratory,hist_boost,0,4540,0.521806167400881,0.5204461132490892,0.5397123705729686,0.24979528548434096,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,cot_exploratory,extra_trees,0,4540,0.5099118942731278,0.5082291020518119,0.5282047479933327,0.24972605550955373,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,cot_exploratory,catboost,0,4540,0.5222466960352423,0.521287287057258,0.5292654343942655,0.2503211461426093,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,cot_exploratory,xgboost,0,4540,0.5262114537444934,0.5252152232662387,0.5463368569212651,0.2488191476915194,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,high_volatility,24,price,logistic,0,4540,0.6790748898678414,0.5017099863201094,0.5168711983637464,0.21810276803422043,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,price,hist_boost,0,4540,0.6777533039647577,0.5012739898080816,0.5344530577088716,0.21805032376362754,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,price,extra_trees,0,4540,0.6781938325991189,0.5003419972640218,0.5345901677231026,0.21803256463987356,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,price,catboost,0,4540,0.6781938325991189,0.5012397678596349,0.528515327432936,0.2180943509009373,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,price,xgboost,0,4540,0.6773127753303965,0.5011286576374056,0.5232351474521537,0.21855678702925477,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,context,logistic,0,4540,0.6931718061674009,0.564356596258341,0.6654111211554752,0.2037559461103074,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,context,hist_boost,0,4540,0.681057268722467,0.5349530537089037,0.6640197989527195,0.20543498881035893,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,context,extra_trees,0,4540,0.6779735682819383,0.5141847754106856,0.6588180627888309,0.2068005275298832,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,context,catboost,0,4540,0.6843612334801762,0.5404421209074771,0.6664297796728738,0.20496799753603775,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,context,xgboost,0,4540,0.6854625550660793,0.5340721718670696,0.6644591287714143,0.20608927734593913,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,fomc,logistic,0,4540,0.6874449339207048,0.5865275300019822,0.667506437726276,0.20596154110234893,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,fomc,hist_boost,0,4540,0.6894273127753304,0.5709318769894285,0.6662010037253034,0.20592044216754388,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,fomc,extra_trees,0,4540,0.68215859030837,0.5300195376214768,0.659917387327568,0.2067478987824786,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,fomc,catboost,0,4540,0.6914096916299559,0.5610819557887982,0.6652993442719124,0.20523613788330186,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,fomc,xgboost,0,4540,0.6784140969162996,0.5497022690485143,0.6654048989830303,0.20604370644191758,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,cot_exploratory,logistic,0,4540,0.690748898678414,0.5839366618400386,0.6662448922630841,0.20533299990653567,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,cot_exploratory,hist_boost,0,4540,0.6751101321585903,0.5549864489972969,0.6509840143501074,0.20835613679306964,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,cot_exploratory,extra_trees,0,4540,0.6801762114537445,0.5170660856935366,0.6504934627189649,0.20844603986343807,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,cot_exploratory,catboost,0,4540,0.6786343612334802,0.5599197428642793,0.6575780727087518,0.20800466476971824,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,high_volatility,24,cot_exploratory,xgboost,0,4540,0.6762114537444934,0.5389205775242687,0.6542057663538692,0.20748754592149016,0.6779735682819383,0.21974289542433453,0.5962555066079295,0.5384883587597966,0.32202643171806167
EURUSD,direction,24,price,logistic,1,6100,0.4911475409836066,0.4969604384240167,0.4857241449562425,0.25104234939245884,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,price,hist_boost,1,6100,0.5060655737704918,0.5100947973182801,0.5081107324410258,0.25129906456234996,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,price,extra_trees,1,6100,0.49540983606557376,0.5014987784205596,0.5033056812022412,0.2505535692762678,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,price,catboost,1,6100,0.5009836065573771,0.5051876654306195,0.5073260882964268,0.2505276063909334,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,price,xgboost,1,6100,0.5052459016393442,0.509485809337658,0.5092924584774322,0.25090632915876776,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,context,logistic,1,6100,0.5021311475409836,0.505619491315669,0.5005612284357318,0.25111117432767366,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
EURUSD,direction,24,context,hist_boost,1,6100,0.5080327868852459,0.5090732378637242,0.5059670925979052,0.2527559850397164,0.48737704918032787,0.2501979416841715,0.5098360655737705,0.5095317402513249,0.48737704918032787
