task,symbol,fold,threshold,coverage,n,accuracy,balanced_accuracy
direction,NZDUSD,0,0.5,1.0,1880,0.5351063829787234,0.536931727711534
direction,NZDUSD,0,0.55,0.24468085106382978,460,0.591304347826087,0.6001442015786278
direction,NZDUSD,0,0.6,0.02925531914893617,55,0.6909090909090909,0.6304347826086957
direction,NZDUSD,1,0.5,1.0,3119,0.5280538634177621,0.5271436961870377
direction,NZDUSD,1,0.55,0.17313241423533185,540,0.5462962962962963,0.54471069951497
direction,NZDUSD,1,0.6,0.03687079192048734,115,0.6347826086956522,0.5313117996044825
high_volatility,NZDUSD,0,0.5,1.0,194,0.7164948453608248,0.6933040078201369
high_volatility,NZDUSD,0,0.55,0.7835051546391752,152,0.7631578947368421,0.7378999179655455
high_volatility,NZDUSD,0,0.6,0.6494845360824743,126,0.7777777777777778,0.7406593406593407
high_volatility,NZDUSD,0,0.65,0.5,97,0.8350515463917526,0.7885610766045549
high_volatility,NZDUSD,0,0.7,0.42783505154639173,83,0.891566265060241,0.8311594202898551
high_volatility,NZDUSD,0,0.75,0.34536082474226804,67,0.9253731343283582,0.8477088948787062
high_volatility,NZDUSD,0,0.8,0.27835051546391754,54,0.9259259259259259,0.8016304347826086
high_volatility,NZDUSD,0,0.85,0.18556701030927836,36,0.9722222222222222,0.75
high_volatility,NZDUSD,1,0.5,1.0,328,0.6310975609756098,0.6006993541483548
high_volatility,NZDUSD,1,0.55,0.7804878048780488,256,0.67578125,0.6358805668016194
high_volatility,NZDUSD,1,0.6,0.6128048780487805,201,0.7263681592039801,0.6622153649712704
high_volatility,NZDUSD,1,0.65,0.45426829268292684,149,0.7986577181208053,0.7152690863579474
high_volatility,NZDUSD,1,0.7,0.32621951219512196,107,0.822429906542056,0.7289107289107289
high_volatility,NZDUSD,1,0.75,0.21951219512195122,72,0.8333333333333334,0.75
high_volatility,NZDUSD,1,0.8,0.12195121951219512,40,0.875,0.7222222222222222
